ID	SENTENCE	INDEX	LEN
2012_84763	Das war und ist so und das wird auch immer so sein.	29.4166666666667	12
2014_853870	Und wie wurde er zu dem, der er heute ist?	31.3	10
2013_920354	Was er hat, das will er nicht, und was er will, das hat er nicht.	35.2666666666667	15
2015_200831	Das sind um +41,5 Prozent mehr als im Jahr 2013 und um +39,5 Prozent mehr als 2012.	36.6153846153846	13
2013_486999	Es gibt sie, es gibt sie nicht, es gibt sie.	38.5	10
2015_183769	"Das ist heute so und das war vor 25 Jahren so!"""	41.3	10
2013_808116	Sie hat das so weil das war so vor zwei Jahren in und so..	41.4285714285714	14
2011_403929	Die Welt ist so wie sie ist und so wird sie immer sein.	42.6153846153846	13
2012_624723	Das alles kann er nicht, das muss er auch nicht.	43.5	10
2013_951483	Wie er immer schon war und wie er immer sein wird!	44.1818181818182	11
2013_15366	Aber ich kann das nicht machen, ich kann es nicht.“	44.8	10
2011_833599	So war es und so wird es bis zum Ende sein.	45.2727272727273	11
2011_416731	Doch sie sind nicht die Ersten – und werden auch nicht die Letzten sein.	45.5384615384615	13
2015_912544	Wie, das sagt sie nicht, auch nicht, wer WIR ist!	46.2	10
2015_79725	Auch wenn er nicht mehr das ist, was er einmal war.	46.6363636363636	11
2015_904560	Wenn wir gut sind, ist das noch nicht zu Ende.“	47.1	10
2011_488181	Es ist aber auch nicht so das es nicht so kommen könnte.	48.0833333333333	12
2011_178350	Das haben sie schon Jahre nicht gemacht und werden es auch nicht und.	50.3846153846154	13
2015_80988	"""Auf das eine Jahr auf oder ab kommt es nicht an"", sagt er."	50.6153846153846	13
2014_152370	Damit ist auch der EURO und die EU am Ende!	51.5	10
2013_189612	Das KANN nicht gut gehen und wird es auch nicht.	51.7	10
2015_183538	Das ist für 22 Prozent der Fall – 9 Prozent mehr als noch vor einem Jahr.	51.8461538461539	13
2011_13684	Aber ich muss damit leben, dass es so ist, wie es ist.	52	12
2011_810423	Sie ist mit 38 Jahren so gut wie schon seit Jahren nicht mehr.	52.0833333333333	12
2011_478356	Er war nicht einer unter Millionen, aber doch einer unter 132.000.	53	10
2015_898475	Wenn das dann nur nicht zu viel auf einmal ist.	53.2	10
2012_965726	Doch es war immer schon so, nur nicht so sehr.	53.4	10
2011_174512	Das gab es in Deutschland zu der Zeit noch nicht.	53.6	10
2013_492309	Es ist nicht so, dass man muss, sondern so dass man will.	54.1666666666667	12
2012_114382	Waren es 2011 noch 35 Prozent, sind es in diesem Jahr 44 Prozent.	54.3	10
2012_625287	Aber für mich geht es nicht um das eine oder das andere.	54.3333333333333	12
2013_184967	"Das ist das Team, das wir sind und das wir sein wollen."""	54.4166666666667	12
2013_951714	Wie es ist, wie es sein könnte oder wie es sein sollte.	54.6666666666667	12
2013_497575	"Es sind zu viele, die es einfach nicht können – und es machen"", sagte er."	55.0714285714286	14
2012_968049	«Was heute ist, muss in 50 Jahren nicht mehr so sein.	55.6	10
2014_17114	Aber was nicht war und ist, könnte ja noch werden.	56	10
2015_464695	Es ist, wie es ist - und wir müssen damit leben.	56	10
2015_12319	Aber die Welt ist nicht in uns, wir sind in der Welt.	56.25	12
2014_911898	Wenn sie es nicht wollen, dann machen wir es nicht.	57.9	10
2011_879517	Und von da an ist nichts mehr so, wie es einmal war.	58.1666666666667	12
2011_684898	Man sollte immer zu sich stehen und immer der sein, der man ist.	58.2307692307692	13
2013_214844	Das war so, das bleibt so, das wird immer so sein.	58.4545454545455	11
2013_550946	Haben wir für das eine oder für das andere Geld?	58.7	10
2015_836419	Und für das Jahr 2016 gibt es dann bis zu 400 Euro – wieder im Jahr darauf.	58.7142857142857	14
2013_177589	"Das geht jetzt nicht mehr und es ist auch besser so."""	58.7272727272727	11
2014_709452	Noch ist aber nicht zu sagen, was sie ist und was aus ihr wird.	58.8571428571428	14
2011_939245	Wenn nicht, dann sagt das sehr viel über sie aus.	59.2	10
2013_952966	Wie ist das denn jetzt: Wird es das nun auch in Deutschland geben?	59.2307692307692	13
2012_875729	Das sind in etwa so viele wie in den vergangenen Jahren.	60.1818181818182	11
2013_867851	Und das ist dann das Ende von Deutschland und Europa.	60.4	10
2014_10407	Aber das kann nicht alles sein, da gibt es noch viele mehr.	60.5	12
2011_212876	"Das wird nicht gehen - schon, weil es nicht mehr da ist."""	60.5454545454546	11
2012_220961	«Wir wollen immer mehr und immer mehr und immer mehr.	61.7	10
2015_575452	In den 1930er Jahren waren es noch mehr als 70 gewesen.	61.7	10
2011_216682	Da wurde es ihr zu viel, er war immer noch da.	61.7272727272727	11
2011_211015	Das waren rund 993 Millionen Euro oder 18,7 Prozent mehr als vor einem Jahr.	61.8333333333333	12
2011_201649	Das sind 30 Prozent mehr als im Jahr 2004 und so viele wie noch nie.	62	13
2014_124540	Bis in die 60er-Jahre sei das noch so gewesen.	62.3	10
2011_620568	In diesem Jahr sollen es bis zu drei Prozent mehr werden.	62.4545454545455	11
