ID	SENTENCE	INDEX	LEN
2017_165852	این نرخ در سال های 1390 برابر با 92.4 درصد و در سال 1385 برابر با 91.7درصد گزارش شده است.	65.2941176470588	17
2019_440008	در این خصوص گفت با توجه به اینکه این نیز این است که با وجود فراهم.	73.875	16
2016_155174	این صنعت در این کشور از سال 2008 به بعد با نرخ 28 درصد در حال توسعه است.	74.5	16
2016_943028	وی در ادامه به فعاليت بانک خود که از ۳۰ سال پيش تا به امروز به کار خود ادامه می دهد اشاره کرد.	74.5454545454546	22
2011_415159	اين مسابقات به صورت تيم به تيم هر دو سال يك بار انجام مي شود.	76.8	15
2011_527861	بعد او و بعد من، بعد او و بعد من، بعد او و بعد من..	78.6	15
2019_544320	رئیس دانشگاه آزاد اسلامی گفت با اعلام این که ای دانشگاه به 40 درصد افزایش خواهد.	80.0666666666667	15
2016_550855	در واقع ايران به دنبال آن است که هر کشور عضو اين کار را براي خود انجام دهد.	80.3888888888889	18
2016_572167	را در بر گرفت و اکنون در سال ۹۱ هم به روند خود با قدرت ادامه می دهد.	88.4117647058823	17
2017_143324	این تعداد در سال ۲۰۱۰ به ۱۵ هزار و ۱۸۵ و در سال ۲۰۱۱ به ۱۸ هزار و ۱۲۸ مورد رسیده است.	88.625	16
2019_187370	اين در حال است كه يك نفر ديگر از اين جريان در گذشته بازداشت شده بود.	88.875	16
2017_163218	این مسئول ادامه داد: در سال گذشته این برنامه با حضور 20 استان و در سال جاری با شرکت 28 استان برگزار می‌شود.	90.6190476190476	21
2011_339362	در حال حاضر ۳۲ کشور جهان عضو اين گروه هستند و با آن همکاری می کنند.	93	15
2017_377955	پس اگر قرار باشد مردم عمل کنند، آنها می بايد برای حق خود عمل کنند.	94.1333333333333	15
2016_350226	"به گفته وی ""مشارکت در شهر تهران ۴۸ درصد و در استان تهران ۵۲ درصد بوده است."""	95.0666666666667	15
2017_313846	به اين صورت که يا بازار آمريکا را انتخاب کنند يا بازار ايران را و در صورت انتخاب دوم، بازار آمريکا را از دست خواهند داد.	95.5	26
2016_103696	البته دولت و مجلس در اجرای اين طرح نه راه پيش دارند و نه راه پس.	96	16
2017_101893	البته دولت و مجلس در اجرای اين طرح نه راه پيش دارند و نه راه پس.	96	16
2019_472265	در سال پیش از آن 1 میلیون و 515 هزار و 396 دستگاه خودرو در ایران تولید شده بود.	96.9375	16
2016_39516	از آغاز سال، ايران بيش از ۱۰۰ مورد اعدام از اين دست را اعلام کرده است.	97	15
2016_353172	به نظر شما تا چه مدت اين بازی بين ايران و گروه ۵+۱ ادامه خواهد داشت؟	98.8	15
2015_719387	که بر این اساس 261 هزار و 928 نفر وارد کشور و 325 هزار و 985 نفر از کشور خارج شده‌اند.	99.8235294117647	17
2016_904901	وی اضافه کرد: «از سوی دیگر، باید در نظر داشت سال آینده، سال انتخابات مجلس است.	99.875	16
2011_834834	آن چه لازم است در ایران انجام شود این است که مسائل را آموزش دهند.	100.133333333333	15
2019_501801	دلار در روز دوم هفته نیز ۳۵۰ تومان از ارزش خود را از دست داده بود.	100.333333333333	15
2016_572225	را در نظر گرفته است که البته مذاکرات و بررسی ها در اين مورد هنوز ادامه دارد.	100.647058823529	17
2015_528409	در هر صورت این موضوع (اصلاح قانون کار) در دستور کار وزارت کار است و انجام خواهد شد.	100.722222222222	18
2017_972744	وی همچنین در سال 1386 در تیم ملی ایران حضور داشت و با حضور در 14 بازی یک گل ملی به نام خود ثبت کرد.	101.608695652174	23
2019_379777	جهان از سال ۲۰۰۵ تاکنون یک میلیارد نفر و از سال ۱۹۹۳ دو میلیارد نفر به آن اضافه شده است.	101.833333333333	18
2016_709955	قیمت جهانی نفت نسبت به سال قبل دو برابر و نسبت به سال ۲۰۰۲، ۵ برابر شده است.	101.875	16
2019_471972	در سال ۲۰۱۸ نسبت به سال پیش از آن ۱۲٫۳ درصد رشد داشته و به ۲۹ میلیارد و ۵۱۲ میلیون و ۹۲۶ هزار دلار رسید.	101.95	20
2019_513697	را به دنبال داشته انجام شده است در پایان تاکید کرد جمهوری اسلامی ایران بار دیگر.	102.1875	16
2015_896211	وی اضافه کرد: در مدت 27 سال پس از انقلاب دولت روز به روز سهم خود را در اقتصاد کشور افزایش داده است.	102.409090909091	22
2015_685973	فقط در سال ۸۸ که زمان انتخابات بود، به گفته وزير اقتصاد،‌به حدود ۸۰ هزار تن پرداخت شده است.»	105.722222222222	18
2011_304446	از اين تعداد 195 نفر با عنوان گروه مورد و 198 تن به عنوان گروه «شاهد» در نظر گرفته شدند.	106.111111111111	18
2016_711500	كار از چند ماه قبل آغاز شده و تلاش اين است كه ثبت نام ها تا پايان سال انجام شود.	106.55	20
2017_154584	این شاخص در سال ۱۳۹۴ برابر با 7/159 است و نسبت به سال قبل از آن 2/8 درصد کاهش داشته است.	107.111111111111	18
2019_366338	توسعه کسب و کار و تولید توسط را انجام داده و برای طرح در جلسه شورای.	107.125	16
2015_44683	از سوی دیگر علاوه بر تهران، این طرح در 16 منطقه کشور نیز در حال اجرا است.	107.25	16
2017_905432	وی ادامه داد: وزارت امور خارجه آن چه را که در توان داشته انجام داده و اقدامات لازم را انجام خواهد داد.	107.363636363636	22
